,Company,Symbol,Industry,Identifier,Indices,Currency,Trading,urls,description
218,Global Li-Ion Graphite Corp.,LION,Mining,,,CAD,14-Jul-17,https://thecse.com/en/listings/mining/global-li-ion-graphite-corp,"
	Global Li-Ion Graphite is an exploration and development Company focused on the acquisition and development of Graphite projects with an intent to supply the rapidly growing energy storage industry. Each Li-Ion Battery requires Graphite, Lithium, Cobalt and nickel. The company’s Chedic Graphite project near Carson City Nevada is only a few miles from Tesla’s newly built and commissioned Giga Factory. Global Li-Ion Graphite is actively evaluating additional projects for acquisition to build a world class Graphite supply Company."
219,Global UAV Technologies Ltd.,UAV,Technology,,,CAD,09-Sep-15,https://thecse.com/en/listings/technology/global-uav-technologies-ltd,
220,GlobeX Data Ltd.,SWIS,Technology,,CSE Composite,CAD,23-Jul-19,https://thecse.com/en/listings/technology/globex-data-ltd,"GlobeX Data Ltd. designs, develops and markets Swiss hosted Cybersecurity and Internet privacy solutions for secure data management and secure communications. The Company distributes a suite of secure cloud-based storage, disaster recovery, document management, encrypted e-mails, and secure communication tools. GlobeX Data Ltd. sells its products through its online store, its direct sales force, approved wholesalers, distributors and telecommunications companies worldwide."
221,GlobeX Data Ltd. Wts.,SWIS.WT,Technology,,,CAD,23-Jul-19,https://thecse.com/en/listings/technology/globex-data-ltd-wts,
222,Glorious Creation Limited,GCIT,Technology,,,CAD,31-Aug-17,https://thecse.com/en/listings/technology/glorious-creation-limited,"
	Glorious Creation Limited is a Canadian company incorporated under the Canadian Business Corporations Act. Through its subsidiaries in Hong Kong, Vietnam and China, the Company provides international trade agency, internet marketing and consulting, and a virtual cross border business platform to businesses and enterprises in Vietnam and China. The Company helps its clients to develop their Southeast Asian market by providing services including access to the Maritime Silk Road online marketplace, shipping logistics, payment processing, warehousing and distribution of goods, marketing, promotion and sales support."
223,Go Metals Corp,GOCO,Mining,,,CAD,08-Dec-17,https://thecse.com/en/listings/mining/go-metals-corp,"
	Go Metals Corp. is a Canadian mining and exploration company operating out of Vancouver, British Columbia. The Company has an active interest in a number of Canadian battery metals projects.  The flagship is an IOCG project north of Dawson City, Yukon.  The company also has a Nickel project and a Vanadium project in Quebec."
224,Gold Lion Resources Inc.,GL,Mining,,CSE Composite,CAD,13-Nov-19,https://thecse.com/en/listings/mining/gold-lion-resources-inc,"Gold Lion Resources Inc. is a Vancouver-based mineral exploration company currently focused on the exploration of its Fairview Property located in British Columbia, Canada."
225,Gold Plus Mining Inc. (formerly was SYDF/Syd Financial Inc. until 2020-03-03),GPMI,Mining,,,CAD,28-Jun-18,https://thecse.com/en/listings/mining/gold-plus-mining-inc-(formerly-was-sydf/syd-financial-inc-until-2020-03-03),
226,Goldblock Capital Inc.,GBLK,Mining,,,CAD,03-Mar-20,https://thecse.com/en/listings/mining/goldblock-capital-inc,"Goldblock Capital Inc. (the ""Company"") is an exploration company whose activities consist of acquiring, exploring, developing, and, as the case may be, operating mining properties. It is anticipated that the Company will be mainly active in the field of mining exploration in British Columbia."
227,Golden Birch Resources Inc.,GBRX,Mining,,CSE Composite,CAD,02-Mar-20,https://thecse.com/en/listings/mining/golden-birch-resources-inc,"Golden Birch Resources Inc. is a mineral exploration company focused on acquiring, exploring, and developing quality mineral properties in Papua New Guinea."
228,Golden Lake Exploration Inc.,GLM,Mining,,,CAD,08-May-19,https://thecse.com/en/listings/mining/golden-lake-exploration-inc,"Golden Lake Exploration Inc. is a junior public mining exploration company engaged in the business of mineral exploration and the acquisition of mineral property assets. Its objective is to acquire, explore and develop economic precious and base metal properties of merit and to aggressively advance its exploration program on the Company's Nevada Jewel Ridge property."
229,Golden Leaf Holdings Ltd.,GLH,Diversified Industries,US Cannabis,CSE Composite,CAD,14-Oct-15,https://thecse.com/en/listings/diversified-industries/golden-leaf-holdings-ltd,"Golden Leaf Holdings is a premiere consumer-driven cannabis company specializing in production, processing, wholesale, distribution and retail, with seven dispensaries in Portland, Oregon. The Company is committed to developing a dynamic portfolio built around the recognized brands of Chalice Farms, with a focus on health and wellness.  Markets served include Oregon, California, Nevada and Washington. Visit glhmonthly.com for regular updates."
230,GoldHaven Resources Corp. (formerly was ALTM/Altum Resource Corp. until 2020-07-02),GOH,Mining,,,CAD,30-Mar-20,https://thecse.com/en/listings/mining/goldhaven-resources-corp-(formerly-was-altm/altum-resource-corp-until-2020-07-02),
231,Goldrea Resources Corp.,GOR,Mining,,,CAD,02-Sep-15,https://thecse.com/en/listings/mining/goldrea-resources-corp,"
	Goldrea Resources Corp., based in Vancouver BC, Canada is a Junior Resource Company engaged in the acquisition, exploration and development of gold, silver and lithium in North America. The Company has acquired the Cannonball property, a gold project, located in the Golden Triangle in BC, and also a lithium property at Gaspe in Quebec. The Company is pursuing further acquisitions over the next year. Goldrea still maintains a presence in Peru, planned to be expanded in the future.  The Company website is "
232,Goldseek Resources Inc.,GSK,Mining,,CSE Composite,CAD,09-Mar-20,https://thecse.com/en/listings/mining/goldseek-resources-inc,"Goldseek Resources Inc is a Canadian exploration company with a diverse portfolio of assets in Ontario and Quebec, Canada. By identifying two projects in world-class mining locations, Goldseek is poised to deliver shareholder value through rigorous exploration and development of these properties. Our mission is to find the next major discovery in the mining camps of Urban Barry, Quebec and Hemlo, Ontario."
233,Grand Peak Capital Corp.,GPK,Diversified Industries,,CSE Composite,CAD,25-Sep-15,https://thecse.com/en/listings/diversified-industries/grand-peak-capital-corp,"Grand Peak is a diversified industry investment company. Grand Peak invests in high quality cash flow assets across multiple industries, including real estate ventures in Canada and the U.S.A., securities, early stage venture capital companies and leasing and growing hemp on land in Canada and the U.S.A."
234,Graph Blockchain Inc,GBLC,Technology,Blockchain,,CAD,09-Nov-18,https://thecse.com/en/listings/technology/graph-blockchain-inc,"Graph Blockchain Inc. is a leading-edge private blockchain data management and business intelligence solutions provider. Graph leverages their proprietary integration of the AgensGraph Database engine with IBM’s Hyperledger Fabric to create a transparent and immutable ledger with near real-time transactional data processing and intuitive data visualization. In addition, Graph’s hybrid approach offers greater flexibility and scalability, benefiting industries with fast-paced and constantly changing environments.  The company is currently focused on developing enterprise platforms for high-growth areas including the global logistics industry, the global trade sector, the cannabis health and wellness sector, and the electric vehicle charging space."
235,Graphite Energy Corp. (formerly was GRE/Graphite Energy Corp. until 2020-06-03),GRE.X,Mining,,,CAD,13-Oct-17,https://thecse.com/en/listings/mining/graphite-energy-corp-(formerly-was-gre/graphite-energy-corp-until-2020-06-03),
236,Gravitas Financial Inc.,GFI,Diversified Industries,,,CAD,02-Sep-15,https://thecse.com/en/listings/diversified-industries/gravitas-financial-inc,"
	Gravitas is a financial services, research and analytics holding company providing, through its various subsidiaries, capital market services to individual, private and public company clients. Through its portal www.smallcappower.com, it also provides information to corporate and individual investors. Gravitas conducts its operations from its head office in Toronto, Canada. Gravitas intends to utilize the public company platform and enhanced access to capital to grow its existing business and to provide new and enhanced products to its clients."
237,Great Thunder Gold Corp.,GTG,Mining,,,CAD,03-Jun-20,https://thecse.com/en/listings/mining/great-thunder-gold-corp,"Great Thunder Gold Corp. is a Canadian mineral exploration company with projects focused on the Fenelon Gold Camp, along the Detour gold trend in Quebec. The Company’s experienced leadership team is centered around efficiency, asset quality, integrity, and environmental & community responsibility."
238,Green 2 Blue Energy Corp.,GTBE,Technology,,,CAD,28-Dec-17,https://thecse.com/en/listings/technology/green-2-blue-energy-corp,"
	Green 2 Blue Energy Corp. (G2BE) is focused on the production of residential and commercial wood pellets in Europe. All pellets are made from residual sawdust and wood waste. G2BE is able to provide a cleaner, renewable fuel to European power plants that generate and supply electricity, while meeting corporate objectives to reduce their carbon footprints. "
239,Green Growth Brands Inc.,GGB,Life Sciences,Cannabis,CSE Composite,CAD,19-Apr-18,https://thecse.com/en/listings/life-sciences/green-growth-brands-inc,"The Company is a lifestyle oriented, consumer products company that celebrates health, wellness and happiness.  We are in the business of cultivation, processing and retailing of cannabis, tetrahydrocannabidol, cannabidiol (“CBD”) and cannabis-infused consumer products.  Over the next 12 months, the Company intends to expand its retail and wholesale cannabis businesses as well as its CBD consumer products business through a combination of strategic partnerships, merger and acquisition activity, and organic license capture.  The Company’s objectives are to establish retail cannabis locations, or otherwise apply for such licenses, in various states within that timeframe, pursuant to state laws.  Such activity will focus on those certain states where cannabis has been legalized for medical and/or recreational use at the state level."
